day_label,date,activity,type,time_1,timezone_1_label,time_2,timezone_2_label
May 12,2026-05-12,Arrivals & Check-in,break,08:30,Time (MT),09:30,Time (CT)
May 12,2026-05-12,Welcome (Coordinator),activity,09:00,Time (MT),10:00,Time (CT)
May 12,2026-05-12,Module 1 - Introduction (Richard LeDuc),activity,09:30,Time (MT),10:30,Time (CT)
May 12,2026-05-12,Break (30min),break,10:30,Time (MT),11:30,Time (CT)
May 12,2026-05-12,Module 2a - Differential Expression (Constance Li),activity,11:00,Time (MT),12:00,Time (CT)
May 12,2026-05-12,Module 2a Lab (Constance Li),activity,11:45,Time (MT),12:45,Time (CT)
May 12,2026-05-12,Lunch (1h),break,12:45,Time (MT),13:45,Time (CT)
May 12,2026-05-12,Module 2b - Defined Gene Lists (Diogo Pellegrina),activity,13:45,Time (MT),14:45,Time (CT)
May 12,2026-05-12,Module 2b Lab (Diogo Pellegrina),activity,14:30,Time (MT),15:30,Time (CT)
May 12,2026-05-12,Break (30min),break,15:30,Time (MT),16:30,Time (CT)
May 12,2026-05-12,Module 2c - Ranked Gene Lists (Constance Li),activity,16:00,Time (MT),17:00,Time (CT)
May 12,2026-05-12,Module 2c Lab (Constance Li),activity,16:30,Time (MT),17:30,Time (CT)
May 12,2026-05-12,Finished,break,17:30,Time (MT),18:30,Time (CT)
May 13,2026-05-13,Arrivals,break,08:30,Time (MT),09:30,Time (CT)
May 13,2026-05-13,Module 3 - Cytoscape (Diogo Pellegrina),activity,09:00,Time (MT),10:00,Time (CT)
May 13,2026-05-13,Break (30min),break,10:00,Time (MT),11:00,Time (CT)
May 13,2026-05-13,Module 3 Lab (Diogo Pellegrina),activity,10:30,Time (MT),11:30,Time (CT)
May 13,2026-05-13,Class photo + Lunch (1h),break,12:30,Time (MT),13:30,Time (CT)
May 13,2026-05-13,Module 4 - Integrative Assignment (Constance Li),activity,13:30,Time (MT),14:30,Time (CT)
May 13,2026-05-13,Break (30min),break,14:30,Time (MT),15:30,Time (CT)
May 13,2026-05-13,Module 4 Lab (Constance Li),activity,15:00,Time (MT),16:00,Time (CT)
May 13,2026-05-13,Survey & Closing Remarks,activity,17:00,Time (MT),18:00,Time (CT)
May 13,2026-05-13,Finished,break,17:30,Time (MT),18:30,Time (CT)
